"Informazioni cronologiche","Con quante persone vivi?","Chi fa solitamente la spesa in casa tua?","Quanto tempo impieghi a preparare la lista della spesa?","Ti pesa dover ricordare ogni volta cosa manca per comprarlo al supermercato?","Ti è mai capitato di tornare dal supermercato e accorgerti di aver dimenticato un prodotto essenziale?","Quanto spesso dimentichi di inserire qualcosa nella lista della spesa?","Come comunichi con i tuoi coinquilini/familiari su cosa comprare?","Quanto spesso dimentichi di avere un prodotto che sta per scadere?","Ti pesa dover ricordare le scadenze?","Ti darebbe fastidio se un'app analizzasse ciò che compri per aiutarti e diminuire gli sprechi?","Saresti disposto a usare un'app che monitora la tua dispensa e ti avvisa delle scadenze in automatico?","Ti piacerebbe conoscere quali sono i supermercati della tua zona con un click?","Con quale frequenza ti rechi solitamente al supermercato?","Quali di queste funzionalità riterresti più utili in un'app per la gestione della spesa? (Seleziona le 3 che preferisci)"
"2026/06/18 9:05:21 PM EEST","3","Genitore","30 min","no","si","2 volte su 5","lista cartacea","Poco","non so","no","si","si","Quasi ogni giorno","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 9:06:12 PM EEST","0 (da solo)","Io","Qualche minuto ","no","si","Non spesso ","whatsapp","Fortunatamente mai","no","no","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Statistiche grafiche delle spese mensili"
"2026/06/18 9:10:43 PM EEST","4","Genitore","No lista","si","si","Sempre perché non la faccio","whatsapp","Sempre ","non so","non so","non so","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza"
"2026/06/18 9:12:04 PM EEST","0 (da solo)","Io","pochissimo ","non so","si","molte volte ","whatsapp","qualche volta ","si","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 9:16:10 PM EEST","3","Genitore","Pochi minuti","non so","no","Raramente","whatsapp;chiamate;lista cartacea","Ogni tanto","si","no","si","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza"
"2026/06/18 9:19:35 PM EEST","2","Coinquilini","5 minuti ","si","si","Qualche volta","whatsapp","Poco","non so","si","non so","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 9:19:42 PM EEST","4","Genitore","Non lo so, perché è mia madre che fa la lista ","no","si","Ultimamente spesso ","whatsapp;chiamate;vado con loro/io a fare la spesa","Raramente ","no","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scoprire usano l'app se nei prodotti che sto per comprare, è presente qualche ingrediente nocivo per la salute "
"2026/06/18 9:27:14 PM EEST","0 (da solo)","Io","Molto poco","si","no","Quasi mai.","vado con loro/io a fare la spesa","Mai. Consumo sempre prima della scadenza.","no","no","no","No","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 9:28:21 PM EEST","4","Genitore","10 minuti","si","si","Spesso","whatsapp;chiamate;vado con loro/io a fare la spesa;lista cartacea","Qualche volta","non so","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 9:33:57 PM EEST","0 (da solo)","Io","45 minuti","no","si","raramente","vado con loro/io a fare la spesa","raramente","no","si","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
